,liczba przecięć,SortedSet,Lista
50000,28122,3.172039031982422,3.144970655441284
75000,28712,6.983970880508423,4.652198791503906
100000,28812,8.670743227005005,6.523197174072266
200000,28558,15.450616598129272,10.909789800643921
300000,28732,20.51661252975464,16.835983276367188
400000,28400,28.382134199142456,24.17558979988098
500000,28363,36.326005935668945,29.102178812026978
600000,28798,41.946513175964355,36.18291354179382
700000,28584,51.66414189338684,40.393614530563354
