,liczba przecięć,SortedSet,Lista
50000,28725,2.9413645267486572,2.7775659561157227
75000,28449,5.154677391052246,4.91584038734436
100000,28564,6.356625080108643,6.2188732624053955
200000,28571,11.508992433547974,12.368027925491333
300000,28608,15.816354274749756,17.24648427963257
400000,28708,21.191941499710083,23.080621242523193
500000,28980,28.081809520721436,30.553639888763428
600000,28546,33.25686073303223,37.2616765499115
700000,28633,36.80107808113098,42.37784504890442
