,liczba przecięć,SortedSet,Lista
50000,28278,7.499892234802246,4.8400962352752686
100000,28630,12.876542568206787,8.48719310760498
200000,28655,23.848275899887085,16.872557878494263
300000,28379,34.82530355453491,25.76851773262024
400000,28768,46.07099986076355,34.186105728149414
